CED_CODE_2021,CED_NAME_2021,CED_CODE_2024,CED_NAME_2024,RATIO_FROM_TO,INDIV_TO_REGION_QLTY_INDICATOR,OVERALL_QUALITY_INDICATOR,BMOS_NULL_FLAG
101,Banks,101,Banks,0.8876939,Acceptable,Acceptable,0
101,Banks,102,Barton,0.1123061,Poor,Acceptable,0
102,Barton,102,Barton,0.8630233,Poor,Acceptable,0
102,Barton,117,Grayndler,0.0864948,Poor,Acceptable,0
102,Barton,122,Kingsford Smith,0.0504819,Acceptable,Acceptable,0
103,Bennelong,103,Bennelong,0.6859965,Poor,Acceptable,0
103,Bennelong,104,Berowra,0.1309059,Poor,Acceptable,0
103,Bennelong,134,Parramatta,0.1830976,Poor,Acceptable,0
104,Berowra,104,Berowra,0.9136067,Poor,Acceptable,0
104,Berowra,129,Mitchell,0.0671452,Acceptable,Acceptable,0
104,Berowra,134,Parramatta,0.0192481,Poor,Acceptable,0
105,Blaxland,101,Banks,0.0335758,Acceptable,Acceptable,0
105,Blaxland,105,Blaxland,0.558697,Poor,Acceptable,0
105,Blaxland,143,Watson,0.4077272,Poor,Acceptable,0
106,Bradfield,104,Berowra,0.1732218,Poor,Acceptable,0
106,Bradfield,106,Bradfield,0.8267782,Poor,Acceptable,0
107,Calare,107,Calare,1,Good,Acceptable,0
108,Chifley,108,Chifley,0.8681217,Acceptable,Acceptable,0
108,Chifley,128,McMahon,0.1318783,Poor,Acceptable,0
109,Cook,101,Banks,0.0514902,Acceptable,Acceptable,0
109,Cook,102,Barton,0.0647822,Poor,Acceptable,0
109,Cook,109,Cook,0.8411066,Poor,Acceptable,0
109,Cook,122,Kingsford Smith,0.042621,Acceptable,Acceptable,0
110,Cowper,110,Cowper,0.9815962,Good,Acceptable,0
110,Cowper,132,Page,0.0184038,Good,Acceptable,0
111,Cunningham,111,Cunningham,1,Good,Acceptable,0
112,Dobell,112,Dobell,0.9976237,Good,Acceptable,0
112,Dobell,139,Robertson,0.0023763,Good,Acceptable,1
113,Eden-Monaro,113,Eden-Monaro,0.8007513,Poor,Acceptable,0
113,Eden-Monaro,138,Riverina,0.1992487,Poor,Acceptable,0
114,Farrer,114,Farrer,1,Good,Acceptable,0
115,Fowler,115,Fowler,1,Good,Acceptable,0
116,Gilmore,113,Eden-Monaro,0.0152669,Poor,Acceptable,0
116,Gilmore,116,Gilmore,0.9847331,Good,Acceptable,0
117,Grayndler,117,Grayndler,0.8053864,Poor,Acceptable,0
117,Grayndler,141,Sydney,0.1946136,Acceptable,Acceptable,0
118,Greenway,118,Greenway,0.743222,Poor,Acceptable,0
118,Greenway,128,McMahon,0.1942303,Poor,Acceptable,0
118,Greenway,134,Parramatta,0.0625477,Poor,Acceptable,0
119,Hughes,109,Cook,0.2042611,Poor,Acceptable,0
119,Hughes,119,Hughes,0.7957389,Poor,Acceptable,0
120,Hume,113,Eden-Monaro,0.185143,Poor,Acceptable,0
120,Hume,120,Hume,0.6725126,Poor,Acceptable,0
120,Hume,138,Riverina,0.0645804,Poor,Acceptable,0
120,Hume,146,Whitlam,0.077764,Acceptable,Acceptable,0
121,Hunter,121,Hunter,0.8707849,Acceptable,Acceptable,0
121,Hunter,130,New England,0.093953,Good,Acceptable,0
121,Hunter,131,Newcastle,0.0059324,Good,Acceptable,1
121,Hunter,140,Shortland,0.0293296,Good,Acceptable,0
122,Kingsford Smith,122,Kingsford Smith,0.928925,Acceptable,Acceptable,0
122,Kingsford Smith,144,Wentworth,0.071075,Acceptable,Acceptable,0
123,Lindsay,123,Lindsay,0.9254948,Good,Acceptable,0
123,Lindsay,127,Macquarie,0.0745052,Good,Acceptable,0
124,Lyne,124,Lyne,1,Good,Acceptable,0
125,Macarthur,119,Hughes,0.0742793,Poor,Acceptable,0
125,Macarthur,120,Hume,0.1686952,Poor,Acceptable,0
125,Macarthur,125,Macarthur,0.7570256,Poor,Acceptable,0
126,Mackellar,126,Mackellar,1,Acceptable,Acceptable,0
127,Macquarie,127,Macquarie,1,Good,Acceptable,0
128,McMahon,105,Blaxland,0.27834,Poor,Acceptable,0
128,McMahon,115,Fowler,0.0380223,Good,Acceptable,0
128,McMahon,128,McMahon,0.6725771,Poor,Acceptable,0
128,McMahon,134,Parramatta,0.0110605,Poor,Acceptable,0
129,Mitchell,118,Greenway,0.1001571,Poor,Acceptable,0
129,Mitchell,129,Mitchell,0.8998429,Acceptable,Acceptable,0
130,New England,130,New England,1,Good,Acceptable,0
131,Newcastle,131,Newcastle,1,Good,Acceptable,0
132,North Sydney,103,Bennelong,0.3706508,Poor,Acceptable,0
132,North Sydney,106,Bradfield,0.3177904,Poor,Acceptable,0
132,North Sydney,142,Warringah,0.3115588,Poor,Acceptable,0
